rep,bench,arm,ns_per_op,err_pct,probe_off,probe_on
6,ConnectBlockAllEcdsa,base,26845208.50,0.1,0.2248,0.8692
6,DeserializeBlockTest,base,737926.29,0.2,0.2248,0.8692
6,MemPoolAddTransactions,base,67670417.00,0.5,0.2248,0.8692
6,SignTransactionECDSA,base,61207.51,0.2,0.2248,0.8692
6,SignTransactionSchnorr,base,43413.36,0.1,0.2248,0.8692
6,TxGraphTrim,base,9410959.00,0.0,0.2248,0.8692
6,WalletAvailableCoins,base,26186645.50,0.0,0.2248,0.8692
6,WalletCreateTxUsePresetInputsAndCoinSelection,base,15536958.33,0.5,0.2248,0.8692
7,CCoinsCaching,dit,177.69,2.5,0.2225,0.8715
7,CoinSelection,dit,3577670.80,0.2,0.2225,0.8715
7,ComplexMemPool,dit,35870083.00,1.6,0.2225,0.8715
7,ConnectBlockAllEcdsa,dit,26962687.50,0.4,0.2225,0.8715
7,DeserializeBlockTest,dit,741464.20,0.2,0.2225,0.8715
7,MemPoolAddTransactions,dit,69736584.00,0.8,0.2225,0.8715
7,SignTransactionECDSA,dit,59017.57,0.1,0.2225,0.8715
7,SignTransactionSchnorr,dit,44163.84,0.1,0.2225,0.8715
7,TxGraphTrim,dit,10131334.00,0.0,0.2225,0.8715
7,WalletAvailableCoins,dit,26905396.00,0.1,0.2225,0.8715
7,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16060138.67,0.5,0.2225,0.8715
7,CCoinsCaching,base,172.61,1.8,0.2225,0.8715
7,CoinSelection,base,3132150.00,0.5,0.2225,0.8715
7,ComplexMemPool,base,34583500.00,1.3,0.2225,0.8715
7,ConnectBlockAllEcdsa,base,26875062.50,0.2,0.2225,0.8715
7,DeserializeBlockTest,base,737589.65,0.2,0.2225,0.8715
7,MemPoolAddTransactions,base,68334458.00,0.5,0.2225,0.8715
7,SignTransactionECDSA,base,54743.26,0.1,0.2225,0.8715
7,SignTransactionSchnorr,base,43334.44,0.1,0.2225,0.8715
7,TxGraphTrim,base,9304459.00,0.0,0.2225,0.8715
7,WalletAvailableCoins,base,26286625.00,0.0,0.2225,0.8715
