rep,host,arm,seconds,rc,stdout_tail,probe_const,probe_perm,probe_dit
10,sqlite,dit,4.238927,0,       TOTAL.......................................................    4.229s,,,
10,lua,base,1.889812,0,LUABENCH binary_trees checksum 29447519,,,
10,lua,null,1.916237,0,LUABENCH binary_trees checksum 29447519,,,
10,lua,dit,2.208184,0,LUABENCH binary_trees checksum 29447519,,,
10,cpython,base,10.312586,0,PYBENCH nbody 2.554384 float,,,
10,cpython,null,10.278118,0,PYBENCH nbody 2.540746 float,,,
10,cpython,dit,11.066953,0,PYBENCH nbody 2.631059 float,,,
10,git,base,2.339529,0,579877,,,
10,git,null,2.352253,0,579877,,,
10,git,dit,2.407981,0,579877,,,
10,quickjs,base,13.321868,0,__total 3588,,,
10,quickjs,null,13.359833,0,__total 3458,,,
10,quickjs,dit,13.466241,0,__total 3322,,,
11,probe,base,0.023779,0,PROBE dit=0 const_ns_per_hop=0.2201 perm_ns_per_hop=0.8691 const_over_perm=0.2532 ck=665,0.2201,0.8691,0
11,probe,null,0.025450,0,PROBE dit=0 const_ns_per_hop=0.2250 perm_ns_per_hop=0.8697 const_over_perm=0.2587 ck=665,0.2250,0.8697,0
11,probe,dit,0.037641,0,PROBE dit=1 const_ns_per_hop=0.8693 perm_ns_per_hop=0.8692 const_over_perm=1.0002 ck=665,0.8693,0.8692,1
11,sqlite,base,3.996008,0,       TOTAL.......................................................    3.988s,,,
11,sqlite,null,3.995487,0,       TOTAL.......................................................    3.986s,,,
11,sqlite,dit,4.242825,0,       TOTAL.......................................................    4.233s,,,
11,lua,base,1.862923,0,LUABENCH binary_trees checksum 29447519,,,
11,lua,null,1.924270,0,LUABENCH binary_trees checksum 29447519,,,
11,lua,dit,2.233600,0,LUABENCH binary_trees checksum 29447519,,,
11,cpython,base,10.348739,0,PYBENCH nbody 2.553842 float,,,
11,cpython,null,10.404280,0,PYBENCH nbody 2.545425 float,,,
11,cpython,dit,10.999965,0,PYBENCH nbody 2.597027 float,,,
11,git,base,2.310361,0,579877,,,
11,git,null,2.307962,0,579877,,,
11,git,dit,2.378322,0,579877,,,
11,quickjs,base,13.305048,0,__total 3581,,,
11,quickjs,null,13.301392,0,__total 3497,,,
11,quickjs,dit,13.475587,0,__total 3248,,,
