row,family,size,cycles_A,instrs_A,ditwrites_A,cycles_C,instrs_C,ditwrites_C,cycles_B,instrs_B,ditwrites_B,cycles_H,instrs_H,ditwrites_H,cycles_Be,instrs_Be,ditwrites_Be,cycles_He,instrs_He,ditwrites_He
AES-256-XTS decrypt [256 B],AES-256-XTS decrypt,256,380.3828,976.0208,,405.1250,976.0208,0.0000,594.1172,1034.0208,5.0000,504.0443,1024.0208,3.0000,416.0391,1034.0208,5.0000,413.1146,1024.0208,3.0000
AES-256-XTS decrypt [8192 B],AES-256-XTS decrypt,8192,6672.1765,19715.4706,,6691.6471,19715.4706,0.0000,6908.6471,19773.4706,5.0000,6790.0000,19763.4706,3.0000,6508.4706,19773.4706,5.0000,6702.8824,19763.4706,3.0000
AES-256-XTS decrypt init,AES-256-XTS decrypt init,,425.4215,856.0187,,431.2201,856.0187,0.0000,627.1616,916.0187,4.0000,582.0796,915.0187,3.0000,435.2881,916.0187,4.0000,434.2553,915.0187,3.0000
AES-256-XTS encrypt [1350 B],AES-256-XTS encrypt,1350,1308.3196,3541.0825,,1336.1340,3541.0825,0.0000,1465.2268,3582.0825,4.0000,1376.1856,3572.0825,2.0000,1352.1443,3582.0825,4.0000,1338.2062,3572.0825,2.0000
AES-256-XTS encrypt [16 B],AES-256-XTS encrypt,16,163.0798,314.0059,,193.0355,314.0059,0.0000,337.0665,355.0059,4.0000,255.8323,345.0059,2.0000,195.2733,355.0059,4.0000,193.5480,345.0059,2.0000
AES-256-XTS encrypt [16384 B],AES-256-XTS encrypt,16384,13248.7500,39003.0000,,13258.7500,39003.0000,0.0000,13372.8750,39044.0000,4.0000,13304.5000,39034.0000,2.0000,13238.1250,39044.0000,4.0000,13234.7500,39034.0000,2.0000
AES-256-XTS encrypt [256 B],AES-256-XTS encrypt,256,365.6902,925.0202,,403.5894,925.0202,0.0000,547.2116,966.0202,4.0000,465.0453,956.0202,2.0000,407.0806,966.0202,4.0000,401.1008,956.0202,2.0000
AES-256-XTS encrypt [8192 B],AES-256-XTS encrypt,8192,6706.8235,19664.4706,,6713.3529,19664.4706,0.0000,6866.5882,19705.4706,4.0000,6777.0588,19695.4706,2.0000,6729.6471,19705.4706,4.0000,6730.8824,19695.4706,2.0000
AES-256-XTS encrypt init,AES-256-XTS encrypt init,,387.4444,790.0174,,395.2854,790.0174,0.0000,598.3007,851.0174,4.0000,553.1721,850.0174,3.0000,403.2702,851.0174,4.0000,401.3399,850.0174,3.0000
CMAC-AES-128-CBC [1350 B],CMAC-AES-128-CBC,1350,4728.7333,8174.1778,,4689.8444,8174.1778,0.0000,9951.9778,9648.1778,172.0000,7445.1778,9385.1778,86.0000,4690.4444,9648.1778,172.0000,4681.0889,9385.1778,86.0000
CMAC-AES-128-CBC [16 B],CMAC-AES-128-CBC,16,141.0622,326.0059,,154.6918,326.0059,0.0000,270.1772,367.0059,4.0000,207.0227,356.0059,2.0000,147.0571,367.0059,4.0000,160.0256,356.0059,2.0000
CMAC-AES-128-CBC [16384 B],CMAC-AES-128-CBC,16384,55814.6667,95467.6667,,55205.0000,95467.6667,0.0000,117929.0000,112904.6667,2050.0000,88214.3333,109824.6667,1025.0000,55298.3333,112904.6667,2050.0000,55148.3333,109824.6667,1025.0000
CMAC-AES-128-CBC [256 B],CMAC-AES-128-CBC,256,945.4439,1721.0359,,949.5605,1721.0359,0.0000,2000.8834,2022.0359,34.0000,1482.5964,1966.0359,17.0000,954.3812,2022.0359,34.0000,946.7040,1966.0359,17.0000
CMAC-AES-128-CBC [8192 B],CMAC-AES-128-CBC,8192,28005.2857,47850.1429,,27639.7143,47850.1429,0.0000,59045.8571,56583.1429,1026.0000,44179.2857,55039.1429,513.0000,27693.4286,56583.1429,1026.0000,27622.7143,55039.1429,513.0000
CMAC-AES-128-CBC init,CMAC-AES-128-CBC init,,412.8721,867.0168,,412.1468,867.0168,0.0000,646.2096,933.0168,6.0000,558.1405,919.0168,3.0000,442.7212,933.0168,6.0000,441.6289,919.0168,3.0000
CMAC-AES-256-CBC [1350 B],CMAC-AES-256-CBC,1350,6055.7179,9959.2051,,6066.1026,9959.2051,0.0000,11228.8718,11433.2051,172.0000,8805.6410,11170.2051,86.0000,6045.7179,11433.2051,172.0000,6050.3846,11170.2051,86.0000
CMAC-AES-256-CBC [16 B],CMAC-AES-256-CBC,16,150.4100,347.0060,,171.8559,347.0060,0.0000,289.0904,388.0060,4.0000,221.0224,377.0060,2.0000,153.0665,388.0060,4.0000,173.4839,377.0060,2.0000
CMAC-AES-256-CBC [16384 B],CMAC-AES-256-CBC,16384,71783.0000,116971.6667,,71834.6667,116971.6667,0.0000,133291.0000,134408.6667,2050.0000,104598.3333,131328.6667,1025.0000,71570.0000,134408.6667,2050.0000,71546.3333,131328.6667,1025.0000
CMAC-AES-256-CBC [256 B],CMAC-AES-256-CBC,256,1196.4497,2057.0423,,1207.1640,2057.0423,0.0000,2241.1958,2358.0423,34.0000,1738.0847,2302.0423,17.0000,1210.1323,2358.0423,34.0000,1209.6138,2302.0423,17.0000
CMAC-AES-256-CBC [8192 B],CMAC-AES-256-CBC,8192,35944.3333,58602.3333,,35962.1667,58602.3333,0.0000,66731.5000,67335.3333,1026.0000,52371.6667,65791.3333,513.0000,35837.5000,67335.3333,1026.0000,35823.3333,65791.3333,513.0000
CMAC-AES-256-CBC init,CMAC-AES-256-CBC init,,405.9077,919.0176,,407.1099,919.0176,0.0000,623.2066,985.0176,6.0000,535.1099,971.0176,3.0000,404.9560,985.0176,6.0000,403.7538,971.0176,3.0000
Curve25519 arbitrary point multiplication,Curve25519 arbitrary point multiplication,,90357.0000,269913.0000,,90257.0000,269913.0000,0.0000,90267.0000,269933.0000,2.0000,90238.0000,269928.0000,1.0000,90217.0000,269933.0000,2.0000,90218.0000,269928.0000,1.0000
