arm,function,undertaint_ops,sites
null_bracket,psa_unregister_read,246,6
null_bracket,mbedtls_ssl_tls13_write_client_hello_exts,240,79
null_bracket,mbedtls_mpi_sub_mod,238,1
null_bracket,psa_start_key_creation,236,10
null_bracket,mbedtls_sha512_update,235,37
null_bracket,mbedtls_psa_hash_abort,234,15
null_bracket,mbedtls_ssl_encrypt_buf,232,84
null_bracket,mbedtls_gcm_update_ad,232,8
null_bracket,psa_mac_compute_internal,228,23
null_bracket,mbedtls_ecp_group_free,222,16
null_bracket,mbedtls_mpi_random,220,11
null_bracket,mbedtls_ssl_tls13_evolve_secret,217,20
null_bracket,mbedtls_ssl_add_hs_msg_to_checksum,213,17
null_bracket,psa_aead_setup,212,23
null_bracket,psa_unregister_read_under_mutex,212,7
null_bracket,mbedtls_ssl_tls13_write_identities_of_pre_shared_key_ext,208,58
null_bracket,ssl_write_supported_groups_ext,204,27
null_bracket,psa_mac_compute,196,21
null_bracket,cli_send,195,21
null_bracket,mbedtls_asn1_get_alg,189,39
null_bracket,mbedtls_ssl_prepare_handshake_record,188,15
null_bracket,mbedtls_cipher_values_from_psa,186,27
null_bracket,mbedtls_psa_mac_sign_finish,186,2
null_bracket,mbedtls_ssl_write_sig_alg_ext,183,27
null_bracket,mbedtls_ssl_tls13_compute_handshake_transform,182,52
null_bracket,mbedtls_psa_hash_clone,180,10
null_bracket,mbedtls_platform_zeroize,175,3
null_bracket,x509_get_crt_ext,168,26
null_bracket,mbedtls_ecp_group_load,164,22
null_bracket,mbedtls_sha512_init,162,8
null_bracket,psa_key_derivation_setup_kdf,155,4
null_bracket,psa_aead_encrypt,154,51
null_bracket,psa_raw_key_agreement,154,42
null_bracket,mbedtls_ssl_handshake_free,150,25
null_bracket,mbedtls_gcm_setkey,150,13
null_bracket,mbedtls_psa_mac_compute,136,15
null_bracket,ssl_extract_add_data_from_record,133,17
null_bracket,psa_hash_abort,132,9
null_bracket,psa_export_key,126,35
null_bracket,mbedtls_aes_setkey_enc,126,6
null_bracket,ssl_update_checksum_start,124,14
null_bracket,mbedtls_mpi_read_binary,123,9
null_bracket,mbedtls_ssl_write_handshake_msg_ext,121,19
null_bracket,mbedtls_ssl_reset_in_out_pointers,121,17
null_bracket,mbedtls_dhm_init,120,5
null_bracket,mbedtls_mpi_size,119,5
null_bracket,mbedtls_gcm_auth_decrypt,116,16
null_bracket,mbedtls_psa_key_agreement_ecdh,112,36
null_bracket,mbedtls_ssl_transform_free,109,9
null_bracket,psa_key_derivation_abort,109,3
null_bracket,mbedtls_ssl_tls13_write_binders_of_pre_shared_key_ext,108,29
null_bracket,mbedtls_psa_external_get_random,106,4
null_bracket,mbedtls_ecp_point_read_binary,99,32
null_bracket,ssl_tls13_parse_server_pre_shared_key_ext,97,27
null_bracket,mbedtls_ecp_read_key,97,26
null_bracket,ssl_update_checksum_sha256,96,4
null_bracket,mbedtls_psa_aead_encrypt,93,26
null_bracket,mbedtls_ssl_handle_message_type,91,10
null_bracket,mbedtls_mpi_read_binary_le,90,14
null_bracket,ssl_tls13_calc_finished_core,88,11
null_bracket,psa_generate_key_custom,88,30
null_bracket,mbedtls_mpi_init,86,2
null_bracket,mbedtls_ecp_check_privkey,85,14
null_bracket,mbedtls_ssl_tls13_is_supported_versions_ext_present_in_exts,84,21
null_bracket,mbedtls_dhm_free,84,14
null_bracket,mbedtls_sha256_init,84,4
null_bracket,mbedtls_psa_get_random,83,4
null_bracket,mbedtls_ssl_tls13_populate_transform,82,16
null_bracket,mbedtls_ecp_check_pubkey,78,23
null_bracket,mbedtls_ssl_tls13_process_finished_message,77,22
null_bracket,mbedtls_ssl_tls13_generate_and_write_xxdh_key_exchange,75,25
null_bracket,mbedtls_x509_crt_parse_der_internal,75,25
null_bracket,mbedtls_mpi_core_fill_random,75,17
null_bracket,mbedtls_ssl_tls13_fetch_handshake_msg,73,9
null_bracket,memcmp,73,17
null_bracket,mbedtls_ssl_get_handshake_transcript,72,6
null_bracket,mbedtls_asn1_get_bitstring_null,72,12
null_bracket,psa_hash_clone,72,4
null_bracket,ssl_tls13_parse_key_share_ext,70,18
null_bracket,mbedtls_to_psa_error,70,7
null_bracket,psa_hash_compute,67,7
null_bracket,mbedtls_x509_get_time,66,11
null_bracket,mbedtls_sha512_starts,66,4
null_bracket,gcm_mask,66,10
null_bracket,mbedtls_ssl_tls13_calculate_verify_data,65,11
null_bracket,mbedtls_ssl_tls13_derive_secret,64,8
null_bracket,mbedtls_x509_get_subject_alt_name_ext,63,20
null_bracket,mbedtls_ssl_tls13_key_schedule_stage_early,61,16
null_bracket,mbedtls_ssl_tls13_export_handshake_psk,61,16
null_bracket,mbedtls_ecdh_calc_secret,61,17
null_bracket,x509_get_authority_key_id,60,20
null_bracket,mbedtls_ecc_group_from_psa,60,8
null_bracket,mbedtls_ecp_group_init,59,14
null_bracket,ssl_tls13_write_binder,58,14
null_bracket,mbedtls_ssl_get_mode_from_transform,54,9
null_bracket,mbedtls_ecp_keypair_init,52,18
null_bracket,mbedtls_ecdh_get_params,52,19
null_bracket,mbedtls_psa_ecp_generate_key,51,17
null_bracket,mbedtls_ssl_tls13_read_public_xxdhe_share,50,13
null_bracket,psa_get_key_attributes,49,7
null_bracket,mbedtls_ssl_buffering_free,48,8
null_bracket,mbedtls_ssl_read_version,48,6
null_bracket,mbedtls_ssl_tls13_compute_application_transform,48,16
null_bracket,mbedtls_mpi_write_binary_le,48,6
null_bracket,psa_export_public_key,48,15
null_bracket,ssl_tls13_parse_supported_versions_ext,44,11
null_bracket,mbedtls_debug_print_ret,44,1
null_bracket,mbedtls_psa_ecp_export_public_key,44,14
null_bracket,psa_key_agreement_raw_internal,43,13
null_bracket,mbedtls_asn1_free_named_data_list_shallow,42,4
null_bracket,mbedtls_mpi_grow,42,8
null_bracket,mbedtls_ecp_point_write_binary,42,13
null_bracket,mbedtls_sha256_starts,42,5
null_bracket,mbedtls_cipher_free,42,2
null_bracket,mbedtls_ssl_free,41,9
null_bracket,mbedtls_psa_hash_compute,38,4
null_bracket,mbedtls_ssl_tls13_write_finished_message,36,12
null_bracket,mbedtls_ssl_set_hs_psk,33,10
null_bracket,mbedtls_ssl_handshake_step,33,1
null_bracket,mbedtls_pk_parse_subpubkey,33,11
null_bracket,psa_export_public_key_internal,33,10
null_bracket,mbedtls_ssl_session_copy,32,8
null_bracket,ssl_tls13_postprocess_server_hello,32,10
null_bracket,mbedtls_ssl_start_handshake_msg,30,5
null_bracket,psa_key_derivation_setup,30,2
null_bracket,mbedtls_ssl_tls13_create_psk_binder,28,7
null_bracket,mbedtls_ssl_tls13_make_traffic_keys,27,7
null_bracket,mbedtls_asn1_get_bool,27,3
null_bracket,mbedtls_ssl_add_hs_hdr_to_checksum,26,7
null_bracket,mbedtls_ssl_get_extension_id,24,1
null_bracket,mbedtls_ssl_tls13_derive_handshake_secrets,24,8
null_bracket,mbedtls_x509_get_ext,24,8
null_bracket,psa_aead_check_nonce_length,24,4
null_bracket,psa_generate_key_internal,22,7
null_bracket,ssl_write_alpn_ext,21,6
null_bracket,mbedtls_x509_get_sig,21,7
null_bracket,mbedtls_x509_parse_subject_alt_name,21,7
null_bracket,x509_get_dates,21,7
null_bracket,x509_get_subject_key_id,21,7
null_bracket,ecp_randomize_mxz,20,2
null_bracket,psa_key_algorithm_permits,20,1
null_bracket,mbedtls_ssl_set_inbound_transform,18,3
null_bracket,mbedtls_ssl_tls13_write_change_cipher_spec,18,6
null_bracket,mbedtls_psa_ecp_export_key,18,6
null_bracket,mbedtls_cipher_info_from_values,18,2
null_bracket,mbedtls_cipher_setup,18,2
null_bracket,mbedtls_cipher_setkey,18,2
null_bracket,mbedtls_gcm_free,18,2
