scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
branch,flush-after,12,591454.0,298085.0,94867.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17880.0,270988.0,121.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,flush-after,24,632516.0,369137.0,94850.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17880.0,270601.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,flush-after,48,666926.0,511241.0,94867.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17881.0,271131.0,124.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,flush-after,96,737954.0,795449.0,95238.0,95108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11961.0,257809.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,flush-after,192,880366.0,1363865.0,94866.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11961.0,164553.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,frontier,0,217290.0,227033.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,259259.0,123.0,0.0,0.0,5922.0,0.0,5922.0,5923.0,5977.0,0.0,67725
branch,frontier,6,221560.0,262559.0,161.0,32.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,6039.0,258547.0,123.0,0.0,0.0,5922.0,0.0,5922.0,5935.0,5973.0,0.0,67725
branch,frontier,12,227813.0,298085.0,146.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6038.0,259067.0,121.0,0.0,0.0,5922.0,0.0,5922.0,5929.0,5974.0,0.0,67725
branch,frontier,24,257722.0,369137.0,24016.0,23902.0,23886.0,23886.0,0.0,0.0,0.0,0.0,0.0,6038.0,234656.0,122.0,0.0,0.0,5922.0,0.0,5922.0,5929.0,5974.0,0.0,67725
branch,frontier,48,282292.0,511241.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040.0,164494.0,124.0,0.0,0.0,5922.0,0.0,5922.0,5935.0,5974.0,0.0,67725
branch,frontier,96,340697.0,795449.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6041.0,164110.0,125.0,0.0,0.0,5922.0,0.0,5922.0,5935.0,5975.0,0.0,67725
branch,frontier,192,483275.0,1363865.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,164536.0,123.0,0.0,0.0,5922.0,0.0,5922.0,5923.0,5977.0,0.0,67725
branch,frontier-reg,0,213203.0,238812.0,12013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,259220.0,123.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
branch,frontier-reg,6,219899.0,274274.0,12025.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040.0,259241.0,124.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
branch,frontier-reg,12,225220.0,309800.0,12064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040.0,259265.0,123.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
branch,frontier-reg,24,263474.0,380916.0,12016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,259281.0,122.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
branch,frontier-reg,48,279717.0,523020.0,106611.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,164506.0,122.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
