bench,arm,cfg,cycles,insts,ops,fetchInsts,icacheLines,icacheStall,l1i_acc,l1i_miss,l1d_acc,l1d_miss,l2_miss,bpLookups,bpBTBHits,condPred,condIncorr,bpSquash,bpSquashCond,sqInsts,iqFull,robFull,renBlocked,decBlocked,ftqFull,fetchRun,nisn0,ditWrites,ditCycles
chacha20_poly1305_encrypt,pad32,spec,2187.26,4810.0,5276.0,4919.18,428.14,428.84,428.14,0.0,655.72,0.0,0.0,223.96,223.96,134.56,0.0,14.14,7.74,31.56,619.54,0.0,664.36,730.02,2172.86,1757.98,1040.86,0.0,0.0
chacha20_poly1305_encrypt,pad4096,spec,2206.94,4810.0,5276.0,4913.9,440.54,441.5,440.54,0.0,664.48,0.02,0.02,257.66,257.66,155.1,0.0,49.68,30.12,65.96,632.5,0.0,683.26,747.78,2146.7,1763.74,1064.34,0.0,0.0
chacha20_poly1305_encrypt,pad48,spec,2235.9,4810.0,5276.0,4876.18,471.82,472.26,471.82,0.0,674.44,0.0,0.0,236.96,236.96,137.0,0.0,28.78,11.82,68.08,649.68,0.0,704.5,768.82,2208.66,1762.86,1125.6,0.0,0.0
chacha20_poly1305_encrypt,pad4,spec,2197.04,4810.0,5276.0,4915.2,445.6,446.04,445.6,0.0,646.4,0.0,0.0,228.98,228.98,139.46,0.0,21.14,14.62,43.62,657.28,0.0,698.22,767.4,2170.76,1750.1,1043.96,0.0,0.0
chacha20_poly1305_encrypt,pad512,spec,2158.62,4810.0,5276.0,4902.12,443.76,444.76,443.76,0.0,660.7,0.0,0.0,252.12,252.12,147.0,0.0,44.48,22.36,72.0,590.62,0.0,641.58,700.74,2104.72,1712.44,1022.22,0.0,0.0
chacha20_poly1305_encrypt,pad64,spec,2158.98,4810.0,5276.0,4895.98,444.78,445.7,444.78,0.0,660.64,0.0,0.0,238.76,238.76,142.28,0.0,32.82,19.34,72.22,590.4,0.0,643.46,700.68,2119.16,1712.02,1023.94,0.0,0.0
chacha20_poly1305_encrypt,pad65536,spec,2181.12,4810.0,5276.0,4951.9,448.44,448.9,448.44,0.0,668.66,0.0,0.0,276.6,276.6,164.62,0.0,70.84,41.86,113.06,588.06,0.0,642.04,699.1,2098.98,1729.86,1030.4,0.0,0.0
chacha20_poly1305_encrypt,pad8192,spec,2214.82,4810.0,5276.0,4920.16,441.16,441.48,441.16,0.0,666.26,0.0,0.0,261.98,261.98,155.04,0.0,53.44,29.5,87.52,662.36,0.0,710.6,780.12,2153.38,1771.82,1073.02,0.0,0.0
chacha20_poly1305_encrypt,pad8,spec,2238.96,4810.0,5276.0,4937.88,414.1,415.1,414.1,0.0,660.14,0.0,0.0,261.38,261.38,156.92,0.0,52.18,30.72,61.52,703.74,0.0,750.54,825.28,2183.32,1822.26,1098.0,0.0,0.0
chacha20_poly1305_encrypt,pad96,spec,2181.54,4810.0,5276.0,4903.02,426.18,426.76,426.18,0.0,655.64,0.0,0.0,232.92,232.92,135.82,0.0,22.94,8.84,37.02,619.42,0.0,671.5,734.8,2155.48,1754.1,1038.54,0.0,0.0
ed25519,pad0,spec,78789.95,171769.0,203767.0,196546.15,15792.15,15819.65,15792.15,0.0,54013.8,0.15,0.0,5957.65,5957.65,869.45,0.5,2964.1,277.85,20950.7,19188.6,20.0,20528.35,23105.3,74784.8,62669.2,31616.6,0.0,0.0
ed25519,pad1024,spec,79188.5,171769.0,203767.0,196715.15,15828.7,15831.45,15828.7,0.0,54157.05,0.0,0.0,5922.2,5922.2,844.5,0.15,2926.5,250.35,21101.8,19291.9,19.25,20706.0,23231.6,75257.65,63061.75,31795.75,0.0,0.0
ed25519,pad128,spec,81892.85,171769.0,203767.0,198150.0,15969.8,15943.05,15969.8,0.0,53560.9,0.05,0.0,5927.4,5927.4,858.5,0.2,2932.0,265.2,21900.55,21590.45,19.9,23120.05,26098.25,77941.55,65654.4,34014.0,0.0,0.0
ed25519,pad12,spec,77641.45,171769.0,203767.0,197409.7,14951.5,14993.45,14951.5,0.0,54143.15,0.0,0.0,6013.5,6013.5,881.0,0.1,3017.15,286.65,19763.65,18774.25,18.0,20215.8,23514.15,73612.15,62346.05,30667.8,0.0,0.0
ed25519,pad16384,spec,77164.1,171769.0,203767.0,186972.7,15025.0,15086.3,15025.0,0.0,53933.25,0.0,0.0,5375.8,5375.8,887.8,0.2,2380.4,295.15,12311.65,20912.35,17.7,22211.15,24814.65,74147.95,61866.95,32253.45,0.0,0.0
ed25519,pad16,spec,79807.1,171769.0,203767.0,198199.05,15734.3,15753.9,15734.3,0.0,54501.8,0.0,0.0,6088.45,6088.45,872.75,0.05,3090.5,276.8,21015.9,19389.5,23.8,20635.65,23237.05,75733.85,63741.95,32137.7,0.0,0.0
