benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop,pinned
chacha20_poly1305_encrypt,Z,taintnop,7,260.249,1000,0,pmc,cntvct,0,0,0,0,274038,0,1025,17126,80080,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,8,268.925,1000,1,pmc,cntvct,0,0,0,0,279405,0,1025,16974,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,8,305.653,1000,0,pmc,cntvct,0,0,0,0,317606,0,1025,20025,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,8,268.275,1000,0,pmc,cntvct,0,0,0,0,278919,0,1025,17511,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,8,530.271,1000,0,pmc,cntvct,0,0,0,0,551396,0,1025,36280,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,8,260.432,1000,0,pmc,cntvct,0,0,0,0,273681,0,1025,17047,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,8,257.037,1000,0,pmc,cntvct,0,0,0,0,267386,0,1025,16934,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,9,300.095,1000,0,pmc,cntvct,0,0,0,0,311946,0,1025,20051,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,9,259.350,1000,0,pmc,cntvct,0,0,0,0,270536,0,1025,16828,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,9,538.083,1000,0,pmc,cntvct,0,0,0,0,559498,0,1025,36621,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,9,262.938,1000,0,pmc,cntvct,0,0,0,0,276395,0,1025,17006,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,9,269.492,1000,0,pmc,cntvct,0,0,0,0,279990,0,1025,17519,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,9,278.365,1000,1,pmc,cntvct,0,0,0,0,289104,0,1025,17768,78993,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,10,258.351,1000,0,pmc,cntvct,0,0,0,0,269159,0,1025,16821,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,10,533.714,1000,0,pmc,cntvct,0,0,0,0,554523,0,1025,36272,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,10,259.708,1000,0,pmc,cntvct,0,0,0,0,272934,0,1025,17111,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,10,257.839,1000,0,pmc,cntvct,0,0,0,0,268172,0,1025,16938,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,10,270.348,1000,1,pmc,cntvct,0,0,0,0,280763,0,1025,17030,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,10,307.186,1000,0,pmc,cntvct,0,0,0,0,320355,0,1025,20035,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,11,535.481,1000,0,pmc,cntvct,0,0,0,0,555874,0,1025,36367,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,11,270.635,1000,0,pmc,cntvct,0,0,0,0,283507,0,1025,17675,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,11,256.572,1000,0,pmc,cntvct,0,0,0,0,266781,0,1025,16862,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,11,269.240,1000,1,pmc,cntvct,0,0,0,0,279738,0,1025,16863,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,11,300.509,1000,0,pmc,cntvct,0,0,0,0,312551,0,1025,19992,79249,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,11,260.803,1000,0,pmc,cntvct,0,0,0,0,272720,0,1025,16843,79248,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,12,264.038,1000,0,pmc,cntvct,0,0,0,0,277369,0,1025,16930,80080,16,64,1,0,9
