benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop
chacha20_poly1305_encrypt,A,base,6,230.850,1000,0,kperf,cntvct,12122150,47372607,1561981,5164,3735848,18643254,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,6,234.927,1000,1,kperf,cntvct,11612837,47359968,1647488,5156,3803325,18650204,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,6,274.698,1000,0,kperf,cntvct,11932843,47377269,1696234,11308,3881108,18668559,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,6,232.820,1000,0,kperf,cntvct,12116697,47447153,1582134,5166,3727922,18670484,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,6,573.889,1000,0,kperf,cntvct,15344564,47546674,1902382,70806,5281744,18731623,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,7,231.154,1000,0,kperf,cntvct,12101003,47407762,1522180,5165,3742197,18660454,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,7,232.869,1000,1,kperf,cntvct,11650182,47344331,1658650,5156,3802485,18643272,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,7,272.024,1000,0,kperf,cntvct,11817291,47359867,1664367,11310,3880190,18660539,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,7,234.848,1000,0,kperf,cntvct,12326527,47443882,1640628,6162,3748009,18668749,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,7,571.454,1000,0,kperf,cntvct,15311636,47550241,1888583,70768,5290247,18731413,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,7,232.406,1000,0,kperf,cntvct,12060690,47540289,1507034,5158,3711453,18727029,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,8,234.255,1000,1,kperf,cntvct,11583023,47448890,1625925,5155,3757791,18658874,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,8,273.854,1000,0,kperf,cntvct,11860225,47370872,1697861,11316,3880578,18668004,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,8,233.923,1000,0,kperf,cntvct,12099314,47442187,1577311,5172,3723215,18669169,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,8,572.397,1000,0,kperf,cntvct,15413098,47550332,1907627,70761,5336507,18733008,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,8,234.211,1000,0,kperf,cntvct,12141934,47535449,1555207,5230,3763241,18727764,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,8,230.942,1000,0,kperf,cntvct,12163683,47416168,1524217,5165,3778182,18651544,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,9,274.788,1000,0,kperf,cntvct,11965376,47371876,1688686,11314,3871503,18667294,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,9,233.480,1000,0,kperf,cntvct,12200614,47433670,1557145,5158,3767693,18666604,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,9,574.762,1000,0,kperf,cntvct,15369497,47543866,1896583,70770,5336855,18732763,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,9,233.477,1000,0,kperf,cntvct,12201186,47532971,1547634,5163,3773588,18732794,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,9,232.230,1000,0,kperf,cntvct,12186388,47421230,1554964,5166,3785651,18650829,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,9,233.547,1000,1,kperf,cntvct,11640716,47344547,1633807,5156,3845707,18656029,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,10,232.870,1000,0,kperf,cntvct,12107085,47436900,1562158,5159,3749888,18670714,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,10,575.332,1000,0,kperf,cntvct,15380267,47541427,1889159,70760,5344243,18733493,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,10,235.186,1000,0,kperf,cntvct,12071509,47536664,1533452,5167,3749718,18727664,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,10,230.433,1000,0,kperf,cntvct,12182812,47400425,1567601,5163,3737729,18643934,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,10,233.765,1000,1,kperf,cntvct,11530280,47332052,1622810,5155,3781719,18654084,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,10,274.503,1000,0,kperf,cntvct,11935416,47372355,1697490,11417,3919512,18669414,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,11,573.251,1000,0,kperf,cntvct,15277545,47523597,1897933,70765,5292758,18726103,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,11,235.175,1000,0,kperf,cntvct,12041120,47538766,1547688,5165,3703537,18728559,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,11,235.363,1000,0,kperf,cntvct,12189294,47397257,1541428,5168,3765761,18644108,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,11,232.552,1000,1,kperf,cntvct,11539341,47339391,1659679,5156,3788853,18652939,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,11,274.321,1000,0,kperf,cntvct,11955701,47379861,1711575,11313,3901884,18670149,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,11,233.637,1000,0,kperf,cntvct,12122751,47434415,1547264,5171,3738739,18668544,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,12,233.675,1000,0,kperf,cntvct,12142781,47543747,1557180,5162,3751122,18734649,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,12,231.672,1000,0,kperf,cntvct,12160561,47431832,1590379,5173,3771423,18657909,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,12,234.246,1000,1,kperf,cntvct,11620979,47337934,1654932,5155,3807065,18650674,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,12,273.877,1000,0,kperf,cntvct,12095515,47380726,1694780,11315,3946414,18669505,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,12,233.100,1000,0,kperf,cntvct,12053055,47433001,1537037,5167,3728352,18669364,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,12,574.334,1000,0,kperf,cntvct,15272598,47570898,1899277,70772,5266939,18742048,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,13,233.652,1000,0,kperf,cntvct,12065741,47414294,1571753,5168,3749942,18651604,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,13,234.110,1000,1,kperf,cntvct,11556301,47311457,1662530,5155,3799116,18641704,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,13,272.272,1000,0,kperf,cntvct,11865051,47370537,1698237,11320,3874945,18669904,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,13,231.769,1000,0,kperf,cntvct,12163897,47456384,1499210,5177,3746059,18676744,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,13,570.348,1000,0,kperf,cntvct,15360392,47548718,1920631,70766,5312913,18732488,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,13,233.404,1000,0,kperf,cntvct,12157081,47558318,1560294,5167,3768795,18731234,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,14,233.787,1000,1,kperf,cntvct,11438520,47357776,1649750,5156,3745516,18662169,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,14,274.498,1000,0,kperf,cntvct,11934174,47378409,1699051,11313,3910431,18667809,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,14,234.170,1000,0,kperf,cntvct,12146851,47433918,1557015,5163,3770708,18667424,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,14,574.433,1000,0,kperf,cntvct,15241804,47550489,1896008,70767,5282285,18736138,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,14,233.631,1000,0,kperf,cntvct,12057682,47571208,1520381,5164,3727711,18731419,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,14,232.193,1000,0,kperf,cntvct,12067928,47387703,1564688,5169,3747192,18655204,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,B,base,15,273.224,1000,0,kperf,cntvct,11941882,47384979,1686784,11312,3943555,18675274,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,T,base,15,234.920,1000,0,kperf,cntvct,12091796,47460372,1597025,5164,3746152,18678049,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,P,taint,15,573.960,1000,0,kperf,cntvct,15380868,47535437,1919683,70762,5315989,18723758,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,Z,taintnop,15,234.317,1000,0,kperf,cntvct,12117259,47555926,1543005,5166,3745928,18727754,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,A,base,15,230.113,1000,0,kperf,cntvct,12055216,47371213,1543578,5168,3728469,18640244,1025,0,0,0,64,0,0
chacha20_poly1305_encrypt,C,base,15,232.283,1000,1,kperf,cntvct,11526681,47339519,1635214,5155,3786761,18651284,1025,0,0,0,64,0,0
chacha20_poly1305_decrypt,A,base,1,244.999,1000,0,kperf,cntvct,12267617,47535141,1536125,5173,3771339,18911695,1025,0,0,0,64,0,0
chacha20_poly1305_decrypt,C,base,1,262.277,1000,1,kperf,cntvct,11546051,47329411,1639516,5154,3924730,18929553,1025,0,0,0,64,0,0
